probs,horizon,age
4.090000092983245850e-01,0.000000000000000000e+00,1.000000000000000000e+02
4.699999988079071045e-01,0.000000000000000000e+00,2.000000000000000000e+02
4.979999959468841553e-01,0.000000000000000000e+00,3.000000000000000000e+02
4.950000047683715820e-01,0.000000000000000000e+00,4.000000000000000000e+02
4.839999973773956299e-01,0.000000000000000000e+00,5.000000000000000000e+02
5.310000181198120117e-01,0.000000000000000000e+00,6.000000000000000000e+02
4.979999959468841553e-01,0.000000000000000000e+00,7.000000000000000000e+02
4.930000007152557373e-01,0.000000000000000000e+00,8.000000000000000000e+02
4.850000143051147461e-01,0.000000000000000000e+00,9.000000000000000000e+02
4.869999885559082031e-01,0.000000000000000000e+00,1.000000000000000000e+03
4.889999926090240479e-01,0.000000000000000000e+00,1.100000000000000000e+03
5.030000209808349609e-01,0.000000000000000000e+00,1.200000000000000000e+03
4.659999907016754150e-01,0.000000000000000000e+00,1.300000000000000000e+03
4.920000135898590088e-01,0.000000000000000000e+00,1.400000000000000000e+03
4.869999885559082031e-01,0.000000000000000000e+00,1.500000000000000000e+03
5.080000162124633789e-01,0.000000000000000000e+00,1.600000000000000000e+03
5.099999904632568359e-01,0.000000000000000000e+00,1.700000000000000000e+03
5.260000228881835938e-01,0.000000000000000000e+00,1.800000000000000000e+03
5.059999823570251465e-01,0.000000000000000000e+00,1.900000000000000000e+03
4.869999885559082031e-01,0.000000000000000000e+00,2.000000000000000000e+03
5.239999890327453613e-01,0.000000000000000000e+00,2.100000000000000000e+03
4.779999852180480957e-01,0.000000000000000000e+00,2.200000000000000000e+03
5.130000114440917969e-01,0.000000000000000000e+00,2.300000000000000000e+03
5.070000290870666504e-01,0.000000000000000000e+00,2.400000000000000000e+03
5.270000100135803223e-01,0.000000000000000000e+00,2.500000000000000000e+03
5.090000033378601074e-01,0.000000000000000000e+00,2.600000000000000000e+03
4.920000135898590088e-01,0.000000000000000000e+00,2.700000000000000000e+03
4.909999966621398926e-01,0.000000000000000000e+00,2.800000000000000000e+03
4.990000128746032715e-01,0.000000000000000000e+00,2.900000000000000000e+03
4.959999918937683105e-01,0.000000000000000000e+00,3.000000000000000000e+03
5.049999952316284180e-01,0.000000000000000000e+00,3.100000000000000000e+03
4.979999959468841553e-01,0.000000000000000000e+00,3.200000000000000000e+03
5.170000195503234863e-01,0.000000000000000000e+00,3.300000000000000000e+03
4.979999959468841553e-01,0.000000000000000000e+00,3.400000000000000000e+03
4.740000069141387939e-01,0.000000000000000000e+00,3.500000000000000000e+03
5.180000066757202148e-01,0.000000000000000000e+00,3.600000000000000000e+03
5.400000214576721191e-01,0.000000000000000000e+00,3.700000000000000000e+03
4.769999980926513672e-01,0.000000000000000000e+00,3.800000000000000000e+03
5.109999775886535645e-01,0.000000000000000000e+00,3.900000000000000000e+03
4.990000128746032715e-01,0.000000000000000000e+00,4.000000000000000000e+03
4.799999892711639404e-01,0.000000000000000000e+00,4.100000000000000000e+03
5.059999823570251465e-01,0.000000000000000000e+00,4.200000000000000000e+03
5.289999842643737793e-01,0.000000000000000000e+00,4.300000000000000000e+03
5.159999728202819824e-01,0.000000000000000000e+00,4.400000000000000000e+03
4.930000007152557373e-01,0.000000000000000000e+00,4.500000000000000000e+03
4.690000116825103760e-01,0.000000000000000000e+00,4.600000000000000000e+03
4.959999918937683105e-01,0.000000000000000000e+00,4.700000000000000000e+03
5.019999742507934570e-01,0.000000000000000000e+00,4.800000000000000000e+03
4.740000069141387939e-01,0.000000000000000000e+00,4.900000000000000000e+03
5.099999904632568359e-01,0.000000000000000000e+00,5.000000000000000000e+03
4.900000095367431641e-01,0.000000000000000000e+00,5.100000000000000000e+03
4.869999885559082031e-01,0.000000000000000000e+00,5.200000000000000000e+03
5.019999742507934570e-01,0.000000000000000000e+00,5.300000000000000000e+03
4.850000143051147461e-01,0.000000000000000000e+00,5.400000000000000000e+03
4.909999966621398926e-01,0.000000000000000000e+00,5.500000000000000000e+03
5.059999823570251465e-01,0.000000000000000000e+00,5.600000000000000000e+03
4.930000007152557373e-01,0.000000000000000000e+00,5.700000000000000000e+03
5.130000114440917969e-01,0.000000000000000000e+00,5.800000000000000000e+03
5.080000162124633789e-01,0.000000000000000000e+00,5.900000000000000000e+03
5.109999775886535645e-01,0.000000000000000000e+00,6.000000000000000000e+03
4.950000047683715820e-01,0.000000000000000000e+00,6.100000000000000000e+03
4.460000097751617432e-01,0.000000000000000000e+00,6.200000000000000000e+03
4.860000014305114746e-01,0.000000000000000000e+00,6.300000000000000000e+03
4.600000083446502686e-01,0.000000000000000000e+00,6.400000000000000000e+03
4.819999933242797852e-01,0.000000000000000000e+00,6.500000000000000000e+03
5.009999871253967285e-01,0.000000000000000000e+00,6.600000000000000000e+03
4.920000135898590088e-01,0.000000000000000000e+00,6.700000000000000000e+03
5.099999904632568359e-01,0.000000000000000000e+00,6.800000000000000000e+03
4.900000095367431641e-01,0.000000000000000000e+00,6.900000000000000000e+03
4.880000054836273193e-01,0.000000000000000000e+00,7.000000000000000000e+03
4.970000088214874268e-01,0.000000000000000000e+00,7.100000000000000000e+03
4.819999933242797852e-01,0.000000000000000000e+00,7.200000000000000000e+03
4.950000047683715820e-01,0.000000000000000000e+00,7.300000000000000000e+03
4.880000054836273193e-01,0.000000000000000000e+00,7.400000000000000000e+03
4.790000021457672119e-01,0.000000000000000000e+00,7.500000000000000000e+03
4.839999973773956299e-01,0.000000000000000000e+00,7.600000000000000000e+03
5.009999871253967285e-01,0.000000000000000000e+00,7.700000000000000000e+03
5.149999856948852539e-01,0.000000000000000000e+00,7.800000000000000000e+03
4.970000088214874268e-01,0.000000000000000000e+00,7.900000000000000000e+03
4.900000095367431641e-01,0.000000000000000000e+00,8.000000000000000000e+03
4.699999988079071045e-01,0.000000000000000000e+00,8.100000000000000000e+03
4.959999918937683105e-01,0.000000000000000000e+00,8.200000000000000000e+03
5.059999823570251465e-01,0.000000000000000000e+00,8.300000000000000000e+03
4.990000128746032715e-01,0.000000000000000000e+00,8.400000000000000000e+03
4.779999852180480957e-01,0.000000000000000000e+00,8.500000000000000000e+03
5.090000033378601074e-01,0.000000000000000000e+00,8.600000000000000000e+03
4.779999852180480957e-01,0.000000000000000000e+00,8.700000000000000000e+03
4.799999892711639404e-01,0.000000000000000000e+00,8.800000000000000000e+03
5.049999952316284180e-01,0.000000000000000000e+00,8.900000000000000000e+03
4.839999973773956299e-01,0.000000000000000000e+00,9.000000000000000000e+03
4.810000061988830566e-01,0.000000000000000000e+00,9.100000000000000000e+03
5.090000033378601074e-01,0.000000000000000000e+00,9.200000000000000000e+03
5.270000100135803223e-01,0.000000000000000000e+00,9.300000000000000000e+03
4.889999926090240479e-01,0.000000000000000000e+00,9.400000000000000000e+03
5.220000147819519043e-01,0.000000000000000000e+00,9.500000000000000000e+03
4.769999980926513672e-01,0.000000000000000000e+00,9.600000000000000000e+03
4.970000088214874268e-01,0.000000000000000000e+00,9.700000000000000000e+03
5.070000290870666504e-01,0.000000000000000000e+00,9.800000000000000000e+03
5.279999971389770508e-01,0.000000000000000000e+00,9.900000000000000000e+03
3.939999938011169434e-01,1.000000000000000000e+00,1.000000000000000000e+02
4.930000007152557373e-01,1.000000000000000000e+00,2.000000000000000000e+02
4.990000128746032715e-01,1.000000000000000000e+00,3.000000000000000000e+02
4.589999914169311523e-01,1.000000000000000000e+00,4.000000000000000000e+02
5.130000114440917969e-01,1.000000000000000000e+00,5.000000000000000000e+02
4.950000047683715820e-01,1.000000000000000000e+00,6.000000000000000000e+02
4.860000014305114746e-01,1.000000000000000000e+00,7.000000000000000000e+02
4.880000054836273193e-01,1.000000000000000000e+00,8.000000000000000000e+02
4.819999933242797852e-01,1.000000000000000000e+00,9.000000000000000000e+02
5.239999890327453613e-01,1.000000000000000000e+00,1.000000000000000000e+03
5.080000162124633789e-01,1.000000000000000000e+00,1.100000000000000000e+03
4.970000088214874268e-01,1.000000000000000000e+00,1.200000000000000000e+03
5.009999871253967285e-01,1.000000000000000000e+00,1.300000000000000000e+03
4.880000054836273193e-01,1.000000000000000000e+00,1.400000000000000000e+03
4.850000143051147461e-01,1.000000000000000000e+00,1.500000000000000000e+03
4.990000128746032715e-01,1.000000000000000000e+00,1.600000000000000000e+03
5.270000100135803223e-01,1.000000000000000000e+00,1.700000000000000000e+03
5.329999923706054688e-01,1.000000000000000000e+00,1.800000000000000000e+03
5.199999809265136719e-01,1.000000000000000000e+00,1.900000000000000000e+03
4.819999933242797852e-01,1.000000000000000000e+00,2.000000000000000000e+03
5.120000243186950684e-01,1.000000000000000000e+00,2.100000000000000000e+03
5.299999713897705078e-01,1.000000000000000000e+00,2.200000000000000000e+03
5.339999794960021973e-01,1.000000000000000000e+00,2.300000000000000000e+03
4.939999878406524658e-01,1.000000000000000000e+00,2.400000000000000000e+03
5.120000243186950684e-01,1.000000000000000000e+00,2.500000000000000000e+03
4.839999973773956299e-01,1.000000000000000000e+00,2.600000000000000000e+03
5.379999876022338867e-01,1.000000000000000000e+00,2.700000000000000000e+03
5.030000209808349609e-01,1.000000000000000000e+00,2.800000000000000000e+03
4.939999878406524658e-01,1.000000000000000000e+00,2.900000000000000000e+03
5.149999856948852539e-01,1.000000000000000000e+00,3.000000000000000000e+03
4.839999973773956299e-01,1.000000000000000000e+00,3.100000000000000000e+03
5.289999842643737793e-01,1.000000000000000000e+00,3.200000000000000000e+03
5.170000195503234863e-01,1.000000000000000000e+00,3.300000000000000000e+03
5.000000000000000000e-01,1.000000000000000000e+00,3.400000000000000000e+03
4.860000014305114746e-01,1.000000000000000000e+00,3.500000000000000000e+03
5.149999856948852539e-01,1.000000000000000000e+00,3.600000000000000000e+03
5.400000214576721191e-01,1.000000000000000000e+00,3.700000000000000000e+03
5.019999742507934570e-01,1.000000000000000000e+00,3.800000000000000000e+03
5.130000114440917969e-01,1.000000000000000000e+00,3.900000000000000000e+03
5.030000209808349609e-01,1.000000000000000000e+00,4.000000000000000000e+03
5.460000038146972656e-01,1.000000000000000000e+00,4.100000000000000000e+03
5.339999794960021973e-01,1.000000000000000000e+00,4.200000000000000000e+03
5.070000290870666504e-01,1.000000000000000000e+00,4.300000000000000000e+03
5.009999871253967285e-01,1.000000000000000000e+00,4.400000000000000000e+03
5.429999828338623047e-01,1.000000000000000000e+00,4.500000000000000000e+03
5.370000004768371582e-01,1.000000000000000000e+00,4.600000000000000000e+03
5.230000019073486328e-01,1.000000000000000000e+00,4.700000000000000000e+03
5.440000295639038086e-01,1.000000000000000000e+00,4.800000000000000000e+03
5.009999871253967285e-01,1.000000000000000000e+00,4.900000000000000000e+03
5.400000214576721191e-01,1.000000000000000000e+00,5.000000000000000000e+03
5.239999890327453613e-01,1.000000000000000000e+00,5.100000000000000000e+03
5.299999713897705078e-01,1.000000000000000000e+00,5.200000000000000000e+03
5.299999713897705078e-01,1.000000000000000000e+00,5.300000000000000000e+03
5.239999890327453613e-01,1.000000000000000000e+00,5.400000000000000000e+03
5.000000000000000000e-01,1.000000000000000000e+00,5.500000000000000000e+03
5.509999990463256836e-01,1.000000000000000000e+00,5.600000000000000000e+03
5.139999985694885254e-01,1.000000000000000000e+00,5.700000000000000000e+03
5.540000200271606445e-01,1.000000000000000000e+00,5.800000000000000000e+03
5.270000100135803223e-01,1.000000000000000000e+00,5.900000000000000000e+03
5.320000052452087402e-01,1.000000000000000000e+00,6.000000000000000000e+03
5.180000066757202148e-01,1.000000000000000000e+00,6.100000000000000000e+03
5.109999775886535645e-01,1.000000000000000000e+00,6.200000000000000000e+03
5.270000100135803223e-01,1.000000000000000000e+00,6.300000000000000000e+03
5.329999923706054688e-01,1.000000000000000000e+00,6.400000000000000000e+03
5.279999971389770508e-01,1.000000000000000000e+00,6.500000000000000000e+03
5.339999794960021973e-01,1.000000000000000000e+00,6.600000000000000000e+03
5.350000262260437012e-01,1.000000000000000000e+00,6.700000000000000000e+03
5.220000147819519043e-01,1.000000000000000000e+00,6.800000000000000000e+03
5.120000243186950684e-01,1.000000000000000000e+00,6.900000000000000000e+03
5.130000114440917969e-01,1.000000000000000000e+00,7.000000000000000000e+03
5.500000119209289551e-01,1.000000000000000000e+00,7.100000000000000000e+03
4.950000047683715820e-01,1.000000000000000000e+00,7.200000000000000000e+03
4.790000021457672119e-01,1.000000000000000000e+00,7.300000000000000000e+03
5.299999713897705078e-01,1.000000000000000000e+00,7.400000000000000000e+03
5.299999713897705078e-01,1.000000000000000000e+00,7.500000000000000000e+03
5.310000181198120117e-01,1.000000000000000000e+00,7.600000000000000000e+03
5.289999842643737793e-01,1.000000000000000000e+00,7.700000000000000000e+03
5.460000038146972656e-01,1.000000000000000000e+00,7.800000000000000000e+03
5.109999775886535645e-01,1.000000000000000000e+00,7.900000000000000000e+03
5.299999713897705078e-01,1.000000000000000000e+00,8.000000000000000000e+03
5.059999823570251465e-01,1.000000000000000000e+00,8.100000000000000000e+03
5.249999761581420898e-01,1.000000000000000000e+00,8.200000000000000000e+03
5.189999938011169434e-01,1.000000000000000000e+00,8.300000000000000000e+03
5.159999728202819824e-01,1.000000000000000000e+00,8.400000000000000000e+03
5.370000004768371582e-01,1.000000000000000000e+00,8.500000000000000000e+03
5.180000066757202148e-01,1.000000000000000000e+00,8.600000000000000000e+03
5.220000147819519043e-01,1.000000000000000000e+00,8.700000000000000000e+03
5.260000228881835938e-01,1.000000000000000000e+00,8.800000000000000000e+03
5.450000166893005371e-01,1.000000000000000000e+00,8.900000000000000000e+03
5.580000281333923340e-01,1.000000000000000000e+00,9.000000000000000000e+03
5.249999761581420898e-01,1.000000000000000000e+00,9.100000000000000000e+03
5.400000214576721191e-01,1.000000000000000000e+00,9.200000000000000000e+03
5.450000166893005371e-01,1.000000000000000000e+00,9.300000000000000000e+03
5.460000038146972656e-01,1.000000000000000000e+00,9.400000000000000000e+03
5.260000228881835938e-01,1.000000000000000000e+00,9.500000000000000000e+03
5.230000019073486328e-01,1.000000000000000000e+00,9.600000000000000000e+03
5.220000147819519043e-01,1.000000000000000000e+00,9.700000000000000000e+03
5.180000066757202148e-01,1.000000000000000000e+00,9.800000000000000000e+03
5.170000195503234863e-01,1.000000000000000000e+00,9.900000000000000000e+03
